municipio,populacao,PIB
Claro dos Poções,7259.0,83730.399
Cláudio,31665.0,1118679.534
Coimbra,7285.0,139845.278
Coluna,8251.0,121196.119
Comendador Gomes,2813.0,154809.443
Comercinho,6627.0,68128.54
Conceição da Aparecida,10668.0,274176.557
Conceição das Pedras,2837.0,61042.857
Conceição das Alagoas,29949.0,1318366.994
Conceição de Ipanema,4503.0,81015.659
Conceição do Mato Dentro,24254.0,9051035.533
Conceição do Pará,5567.0,494122.167
Conceição do Rio Verde,12780.0,343578.476
Conceição dos Ouros,11183.0,225127.162
Cônego Marinho,7420.0,63480.188
Confins,7676.0,485731.797
Congonhal,11403.0,220410.748
Congonhas,54986.0,4115643.68
Congonhas do Norte,4927.0,49300.47
Conquista,6864.0,490137.112
Conselheiro Lafaiete,137980.0,3118548.686
Conselheiro Pena,21113.0,383878.478
Consolação,1578.0,31451.189
Contagem,649975.0,36479764.963
Coqueiral,9197.0,234166.145
Coração de Jesus,26151.0,272890.502
Cordisburgo,7592.0,146186.786
Cordislândia,3247.0,113770.022
Corinto,23996.0,612295.372
Coroaci,11200.0,125593.177
Coromandel,30013.0,1535204.592
Coronel Fabriciano,108551.0,1996018.735
Coronel Murta,8283.0,119865.218
Coronel Pacheco,2799.0,60102.28
Coronel Xavier Chaves,3586.0,90915.715
Córrego Danta,2978.0,165603.036
Córrego do Bom Jesus,4429.0,45637.727
Córrego Fundo,6310.0,320637.257
Córrego Novo,2912.0,38526.414
Couto de Magalhães de Minas,4346.0,63270.417
Crisólita,5296.0,76419.328
Cristais,12576.0,295530.147
Cristália,5165.0,59171.307
Cristiano Otoni,4735.0,123694.381
Cristina,10627.0,233896.019
Crucilândia,5633.0,83098.295
Cruzeiro da Fortaleza,3610.0,184042.908
Cruzília,15779.0,317748.106
Cuparaque,3994.0,74053.683
Curral de Dentro,7630.0,80452.645
Curvelo,83862.0,2230616.863
Datas,5618.0,73964.41
Delfim Moreira,8130.0,125715.38
Delfinópolis,8760.0,247245.481
Delta,11003.0,466766.615
