municipio,populacao,PIB
Senador Firmino,7945.0,106777.109
Senador José Bento,2137.0,35496.339
Senador Modestino Gonçalves,4035.0,92207.161
Senhora de Oliveira,5584.0,81083.282
Senhora do Porto,3088.0,49778.086
Senhora dos Remédios,10640.0,115769.112
Sericita,7536.0,104984.619
Seritinga,1864.0,45231.763
Serra Azul de Minas,3829.0,45065.797
Serra da Saudade,854.0,21890.558
Serra dos Aimorés,6936.0,91034.033
Serra do Salitre,12210.0,983221.689
Serrania,7802.0,161647.365
Serranópolis de Minas,4496.0,47456.285
Serranos,2035.0,38562.023
Serro,22550.0,292439.578
Sete Lagoas,237931.0,12659739.89
Silveirânia,2391.0,35150.316
Silvianópolis,6336.0,141555.673
Simão Pereira,3060.0,104072.261
Simonésia,20339.0,285286.536
Sobrália,5175.0,67372.791
Soledade de Minas,5733.0,81877.121
Tabuleiro,4098.0,65731.176
Taiobeiras,34392.0,557419.252
Taparuba,3492.0,49070.262
Tapira,4212.0,689238.387
Tapiraí,1707.0,56040.744
Taquaraçu de Minas,4368.0,65922.805
Tarumirim,15072.0,188341.121
Teixeiras,12634.0,191322.291
Teófilo Otoni,142571.0,2951670.488
Timóteo,84087.0,5611338.764
Tiradentes,8008.0,205707.337
Tiros,8172.0,379858.774
Tocantins,16574.0,349691.358
Tocos do Moji,3899.0,70719.247
Toledo,7541.0,107160.56
Tombos,8699.0,130979.254
Três Corações,78079.0,2959361.221
Três Marias,29927.0,3151633.367
Três Pontas,57086.0,1879263.744
Tumiritinga,5973.0,82915.463
Tupaciguara,26482.0,946559.143
Turmalina,20650.0,443706.354
Turvolândia,5078.0,139819.527
Ubá,107222.0,3573939.502
Ubaí,11977.0,117219.271
Ubaporanga,13423.0,167990.879
Uberaba,354142.0,20397519.225
Uberlândia,754954.0,43129284.919
Umburatiba,2742.0,44171.81
Unaí,90724.0,4319562.621
União de Minas,3848.0,130423.701
Uruana de Minas,3360.0,97097.021
Urucânia,10875.0,239997.219
Urucuia,18291.0,193241.664
Vargem Alegre,5834.0,77331.436
Vargem Bonita,2206.0,87636.808
Vargem Grande do Rio Pardo,4727.0,68129.697
Varginha,142802.0,8093809.939
Varjão de Minas,7243.0,316198.895
Várzea da Palma,34639.0,1067612.933
Varzelândia,19214.0,187205.616
Vazante,20433.0,1168648.213
Verdelândia,7770.0,115451.215
Veredinha,5257.0,133052.093
Veríssimo,3480.0,170434.404
Vermelho Novo,5034.0,64216.338
Vespasiano,136826.0,3020537.007
Viçosa,79221.0,1811858.634
Vieiras,3780.0,53459.002
Mathias Lobato,3069.0,43930.813
Virgem da Lapa,11867.0,131603.761
Virgínia,9142.0,180445.726
Virginópolis,10519.0,183952.719
Virgolândia,4530.0,62673.559
Visconde do Rio Branco,40608.0,1351678.582
Volta Grande,4473.0,140360.687
Wenceslau Braz,2387.0,33088.471
