municipio,populacao,PIB,area_ha
Capetinga,6652.0,207279.537,5.001814191770068
Capim Branco,11105.0,123379.12,0.0
Capinópolis,14899.0,666601.289,972.476998147609
Capitão Andrade,4650.0,60812.622,0.0
Capitão Enéas,14401.0,501517.827,338.5348481101155
Capitólio,10863.0,328449.372,0.0
Caputira,9128.0,143750.97,0.0
Caraí,19654.0,210428.036,24.373920455820098
Caranaíba,2960.0,41483.206,0.0
Carandaí,24368.0,751899.12,0.0
Carangola,32165.0,639260.235,0.0
Caratinga,90687.0,2283288.08,24.202291183941817
Carbonita,8633.0,220681.956,185.1525642750034
Careaçu,7029.0,174196.694,6.9655670978757875
Carlos Chagas,18852.0,474792.026,20.071998021064186
Carmésia,2682.0,39788.307,0.0
Carmo da Cachoeira,11776.0,321642.557,2.095969903439863
Carmo da Mata,11279.0,265730.041,0.0
Carmo de Minas,14114.0,290443.145,13.62201075133458
Carmo do Cajuru,24376.0,629040.312,0.0
Carmo do Paranaíba,29899.0,1060224.385,2.6360882034583377
Carmo do Rio Claro,21464.0,694617.337,7.998557289616669
Carmópolis de Minas,18498.0,461604.433,0.0
Carneirinho,9630.0,407481.017,129.0164285807224
Carrancas,4153.0,177651.275,0.0
Carvalhópolis,3417.0,71386.916,0.0
Carvalhos,4507.0,80637.898,2.972726507013394
Casa Grande,2260.0,69241.195,0.0
Cascalho Rico,2757.0,80003.577,2.053149093323722
Cássia,17495.0,436434.833,10.592529385660619
Conceição da Barra de Minas,3596.0,68733.474,0.0
Cataguases,67872.0,1651609.202,0.0
Catas Altas,5668.0,5032357.626,0.0
Catas Altas da Noruega,3141.0,40793.291,0.0
Catuji,7226.0,83288.861,23.67209289546405
Catuti,4805.0,56843.974,0.0
Caxambu,21436.0,371034.549,0.0
Cedro do Abaeté,1091.0,22406.179,0.0
Central de Minas,6243.0,87070.842,0.0
Centralina,10440.0,351070.311,133.0229130244923
Chácara,3177.0,47151.271,0.0
Chalé,6261.0,114181.174,0.0
Chapada do Norte,10024.0,111127.088,0.0
Chapada Gaúcha,12810.0,403117.777,91.94504980639888
Chiador,2865.0,37253.468,0.0
Cipotânea,5599.0,73305.794,0.0
Claraval,4777.0,182017.064,0.0
Claro dos Poções,7259.0,83730.399,122.31366523112818
Cláudio,31665.0,1118679.534,0.0
Coimbra,7285.0,139845.278,0.0
Coluna,8251.0,121196.119,13.558538370073386
Comendador Gomes,2813.0,154809.443,124.35484115515229
Comercinho,6627.0,68128.54,45.165234601671656
Conceição da Aparecida,10668.0,274176.557,0.0
Conceição das Pedras,2837.0,61042.857,0.0
Conceição das Alagoas,29949.0,1318366.994,22.886846883915748
Conceição de Ipanema,4503.0,81015.659,0.0
Conceição do Mato Dentro,24254.0,9051035.533,57.1878923669631
Conceição do Pará,5567.0,494122.167,0.0
Conceição do Rio Verde,12780.0,343578.476,127.97281752414379
Conceição dos Ouros,11183.0,225127.162,0.0
Cônego Marinho,7420.0,63480.188,9.969322015972638
Confins,7676.0,485731.797,0.0
Congonhal,11403.0,220410.748,0.0
Congonhas,54986.0,4115643.68,0.0
Congonhas do Norte,4927.0,49300.47,0.0
Conquista,6864.0,490137.112,944.8439763415656
Conselheiro Lafaiete,137980.0,3118548.686,0.0
Conselheiro Pena,21113.0,383878.478,0.0
Consolação,1578.0,31451.189,0.0
Contagem,649975.0,36479764.963,0.0
Coqueiral,9197.0,234166.145,0.0
Coração de Jesus,26151.0,272890.502,167.64001250679556
Cordisburgo,7592.0,146186.786,8.770764657994896
Cordislândia,3247.0,113770.022,96.95941401648557
Corinto,23996.0,612295.372,107.5249523221377
Coroaci,11200.0,125593.177,1.669827910253713
Coromandel,30013.0,1535204.592,389.9546096134953
Coronel Fabriciano,108551.0,1996018.735,24.277655672803633
Coronel Murta,8283.0,119865.218,41.09676604186801
Coronel Pacheco,2799.0,60102.28,0.0
Coronel Xavier Chaves,3586.0,90915.715,0.0
Córrego Danta,2978.0,165603.036,0.0
Córrego do Bom Jesus,4429.0,45637.727,0.0
Córrego Fundo,6310.0,320637.257,0.0
Córrego Novo,2912.0,38526.414,0.0
Couto de Magalhães de Minas,4346.0,63270.417,0.0
Crisólita,5296.0,76419.328,0.0
Cristais,12576.0,295530.147,3.5157844433354852
Cristália,5165.0,59171.307,2.9787010620267917
Cristiano Otoni,4735.0,123694.381,3.319543900629168
Cristina,10627.0,233896.019,9.298671508662014
Crucilândia,5633.0,83098.295,0.0
Cruzeiro da Fortaleza,3610.0,184042.908,0.0
Cruzília,15779.0,317748.106,0.0
Cuparaque,3994.0,74053.683,0.0
Curral de Dentro,7630.0,80452.645,64.10261868347031
Curvelo,83862.0,2230616.863,95.26002630870234
Datas,5618.0,73964.41,0.0
Delfim Moreira,8130.0,125715.38,18.20558605276751
Delfinópolis,8760.0,247245.481,6.608797426914994
Delta,11003.0,466766.615,121.38698895109917
Descoberto,5058.0,81744.574,0.0
Desterro de Entre Rios,7900.0,261204.331,0.0
Desterro do Melo,3059.0,50625.178,5.336257937038652
Diamantina,49353.0,984259.055,208.77594189413298
Diogo de Vasconcelos,3596.0,42942.07,0.0
Dionísio,6789.0,90882.554,56.85265421197772
Divinésia,4426.0,63715.452,0.0
Divino,21329.0,319461.989,0.0
Divino das Laranjeiras,4186.0,61695.255,0.0
Divinolândia de Minas,6607.0,82295.474,0.0
Divinópolis,242328.0,8331346.293,0.0
Divisa Alegre,6513.0,178208.418,31.11835214077694
Divisa Nova,5993.0,129554.517,0.0
Divisópolis,10585.0,93202.343,12.333320619960288
Dom Bosco,3767.0,69301.829,0.0
Dom Cavati,4981.0,69648.336,0.0
Dom Joaquim,5051.0,67822.666,0.0
Dom Silvério,5350.0,107931.836,0.0
Dom Viçoso,3176.0,39051.772,0.0
Dona Euzébia,6241.0,109905.25,0.0
Dores de Campos,10313.0,320214.975,0.0
Dores de Guanhães,5121.0,190682.631,2.867863129768124
Dores do Indaiá,12786.0,352231.837,69.89883571699987
Dores do Turvo,5159.0,66847.48,7.548695658472896
Doresópolis,1496.0,84133.828,2.1904961980831916
Douradoquara,1869.0,79332.811,5.572589218478195
Durandé,8038.0,122893.402,0.0
Elói Mendes,27343.0,705929.941,6.88560197908963
Engenheiro Caldas,14308.0,157033.127,0.0
Engenheiro Navarro,6411.0,92061.407,0.0
Entre Folhas,5293.0,64926.477,0.0
Entre Rios de Minas,15120.0,270226.089,0.0
Ervália,20951.0,409476.591,2.4366771595852517
Esmeraldas,91573.0,973105.45,0.0
Espera Feliz,24761.0,411020.239,0.0
Espinosa,31385.0,363981.598,25.81818559688685
Espírito Santo do Dourado,7007.0,122239.281,0.0
Estiva,11836.0,601894.385,0.0
Estrela Dalva,2204.0,42898.019,0.0
Estrela do Indaiá,2750.0,165292.078,0.0
Estrela do Sul,6926.0,351924.482,185.54730787485056
Eugenópolis,11075.0,221830.165,34.284172909268584
Ewbank da Câmara,3977.0,54363.671,0.0
Extrema,57913.0,13651225.14,0.0
Fama,2662.0,58635.081,0.0
Faria Lemos,3239.0,64377.787,0.0
Felício dos Santos,5248.0,73738.636,0.0
São Gonçalo do Rio Preto,3098.0,48754.322,0.0
Felisburgo,6592.0,75706.833,0.0
